"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2016000060,"05","1","LSE 13145 116 AVE","","SURREY","BC","V3R2S8","ENVISON TRANSPORT LTD","6045882916","080000","","","","","N","","","","","","N","","2","01207505","08"
2015064920,"05","9","3825 US HIGHWAY 6 EAST","","WATERLOO","IN","46793","CRESTWOOD TRANSPORTATION LLC","8564559450","080000","3","","","","Y","1","","","","","N","","2","00931372","08"
2015034964,"05","3","N1545 COUNTY RD","","MERRILL","WI","54452-8351","ELITE CARRIERS LLC","7155365454","080000","","","","","N","","","","","","N","","1","02461936","08"
2015038202,"05","3","720 COBHAM PARK RD","","WARREN","PA","16365","SUGARGROVE TRANSPORT","8145632290","080000","","","","","N","","","","","000624993","N","","2","01702869","08"
2015104943,"06","1","14544 GREENCASTLE PIKE","","HAGERSTOWN","MD","21740","HOFFMAN TRANSPORTATION INC","8007266111","080000","","","","","N","","","","","","N","","2","00139857","04"
2015097857,"05","3","3101 S. PACKERLAND DRIV","","GREEN BAY","WI","54306","SCHNEIDER","8303721868","080000","","","","","N","","","","","","N","","1","00264184","08"
2015059933,"04","4","337 WALBRIDGE ROAD","","ERIE","PA","16511","ROADS RESIDENTIAL AND COMMERCIAL","8147227068","080000","","","","","N","","","","","","N","","2","02364901","09"
2015109741,"09","1","3513 ADAMS CENTER ROAD","","FORT WAYNE","IN","46806","YRC INC","3308020708","080000","","","","","N","","","","","","N","","1","00071821","08"
2015109741,"05","1","4000 CLINE AVE","","EASTCHICAGO","IN","46312","PENSKE TRUCK LEASING","4702186687","080000","","","","","N","","","","","","N","","2","01674643","08"
2015132120,"05","6","14 ANTHONY DR","","MANHEIM","PA","17545","ADCOCK NORTHEAST AUTO TRANSPORT","7176642005","080000","","","","","N","","","","","","N","A-00114403","1","00540755","08"
